@attribute Time string
@attribute CameraID string
@attribute PlateText string
@attribute VehicleID string


@data
"2024-12-31 21:16:19", "78", "B;D3O%4s", '100'
"2024-12-31 21:16:39", "78", "B;D3O%4s", '100'
"2024-12-31 21:16:46", "78", "B;DL%4s", '100'
"2024-12-31 21:19:41", "150", "B;D3O%4s", '100'
"2024-12-31 21:19:56", "150", "B;D3O%4s", '100'
"2024-12-31 21:33:56", "72", "B;7QQg#", '148'
"2024-12-31 21:36:37", "10", "B;7QQg#", '148'
"2024-12-31 21:36:38", "10", "B;7QQg#", '148'
"2024-12-31 21:36:58", "10", "B;7QQg#", '148'
"2024-12-31 21:37:25", "148", "B;7QQg#", '148'
"2024-12-31 21:38:50", "76", "B;7QQg#", '148'
"2024-12-31 21:42:16", "75", "B;r**4O7", '117'
"2024-12-31 21:42:18", "75", "B;r**4O7", '117'
"2024-12-31 21:42:22", "75", "B;r**4O7", '117'
"2024-12-31 21:42:26", "75", "B;r**4O7", '117'
"2024-12-31 21:42:55", "72", "B;r**4O7", '117'
"2024-12-31 21:45:06", "78", "B;r**4O7", '117'
"2024-12-31 21:45:22", "78", "B;r**4O7", '117'
"2024-12-31 21:46:09", "10", "B;D*w4m7", '44'
"2024-12-31 21:46:16", "10", "B;D*w4m7", '44'
"2024-12-31 21:47:15", "10", "B;D*w4m7", '44'
"2024-12-31 21:47:29", "76", "B;QDmz4", '3'
"2024-12-31 21:47:33", "76", "B;QDmz4", '3'
"2024-12-31 21:47:34", "76", "B;QDmz4", '3'
"2024-12-31 21:47:34", "76", "B;QDmz4", '3'
"2024-12-31 21:47:45", "148", "B;D*w4m7", '44'
"2024-12-31 21:47:53", "148", "B;m*w4m7", '44'
"2024-12-31 21:48:00", "148", "B;D*w4m7", '44'
"2024-12-31 21:48:10", "75", "B;QDmz4", '3'
"2024-12-31 21:48:44", "76", "B;D*w4m7", '44'
"2024-12-31 21:50:53", "150", "B;QDmz4", '3'
"2024-12-31 21:51:41", "150", "B;%>Kss", '25'
"2024-12-31 21:51:41", "150", "B;%>Kss", '25'
"2024-12-31 21:51:49", "150", "B;%>Kss", '25'
"2024-12-31 21:53:09", "75", "B;%>Kss", '25'
"2024-12-31 21:53:16", "75", "B;%>Kss", '25'
"2024-12-31 21:58:56", "76", "B;D>%*m4", '72'
"2024-12-31 21:58:58", "76", "B;D>%*m4", '72'
"2024-12-31 21:59:06", "76", "B;D>%*m4", '72'
"2024-12-31 21:59:54", "75", "B;D>%*m4", '72'
"2024-12-31 22:00:00", "75", "B;D>%*m4", '72'
"2024-12-31 22:02:49", "150", "B;D>%*m4", '72'
"2024-12-31 22:02:51", "150", "B;D>%*m4", '72'
"2024-12-31 22:13:25", "15", "B;Dzgg7%", '43'
"2024-12-31 22:14:01", "50", "B;D4*m%Q", '121'
"2024-12-31 22:14:02", "149", "B;DngQws", '45'
"2024-12-31 22:14:17", "20", "B;D>%*m4", '72'
