@attribute InvoiceDate string
@attribute StockCode string
@attribute CustomerID string
@attribute Country string
@attribute InvoiceNo stringlabel

@data
"2010-12-01 08:26:01.286000", "84029E", "17850", "United Kingdom", '536365'
"2010-12-01 08:26:02.182000", "85123A", "17850", "United Kingdom", '536365'
"2010-12-01 08:26:02.310000", "71053", "17850", "United Kingdom", '536365'
"2010-12-01 08:26:02.495000", "84406B", "17850", "United Kingdom", '536365'
"2010-12-01 08:26:02.828000", "21730", "17850", "United Kingdom", '536365'
"2010-12-01 08:26:03.325000", "22752", "17850", "United Kingdom", '536365'
"2010-12-01 08:26:03.477000", "84029G", "17850", "United Kingdom", '536365'
"2010-12-01 08:28:00.311000", "22632", "17850", "United Kingdom", '536366'
"2010-12-01 08:28:04.870000", "22633", "17850", "United Kingdom", '536366'
"2010-12-01 08:34:00.710000", "22622", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:00.917000", "22310", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:01.067000", "22914", "13047", "United Kingdom", '536368'
"2010-12-01 08:34:01.278000", "22913", "13047", "United Kingdom", '536368'
"2010-12-01 08:34:01.283000", "84969", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:01.748000", "22960", "13047", "United Kingdom", '536368'
"2010-12-01 08:34:01.896000", "22749", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:02.059000", "22623", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:02.499000", "21755", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:03.797000", "48187", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:04.011000", "22912", "13047", "United Kingdom", '536368'
"2010-12-01 08:34:04.187000", "21777", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:04.223000", "22748", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:04.294000", "22745", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:04.328000", "21754", "13047", "United Kingdom", '536367'
"2010-12-01 08:34:04.618000", "84879", "13047", "United Kingdom", '536367'
"2010-12-01 08:35:00", "21756", "13047", "United Kingdom", '536369'
"2010-12-01 08:45:00.052000", "21913", "12583", "France", '536370'
"2010-12-01 08:45:00.321000", "21035", "12583", "France", '536370'
"2010-12-01 08:45:00.475000", "22659", "12583", "France", '536370'
